"Sector","Major Head ","Cat","Cat2","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"REGS","MH 2015","B","S","Nagaland","6.05","3.04","5.09","7.72","4.84","10.19","4.30","2.98","9.13","5.74","10.10","4.47"
"REGS","MH 2015","B","G","Orissa","56.96","11.79","38.64","22.46","30.43","29.49","15.10","42.56","14.44","46.33","53.10","20.47"
"REGS","MH 2015","B","G","Punjab","13.78","8.10","13.45","21.58","17.95","17.12","6.98","27.72","20.15","40.24","47.08","22.51"
"REGS","MH 2015","B","G","Rajasthan","35.79","10.27","14.31","16.30","37.81","31.47","9.58","12.26","12.06","82.84","89.98","32.80"
"REGS","MH 2015","B","S","Sikkim","1.81","0.64","0.98","2.00","1.13","3.15","1.17","1.47","4.97","3.51","8.91","4.11"
"REGS","MH 2015","B","G","Tamil Nadu","62.34","24.40","108.29","23.16","16.75","47.01","39.13","126.24","42.44","39.39","119.59","70.91"
"REGS","MH 2015","B","S","Tripura","2.71","2.29","1.15","4.12","4.32","5.13","2.26","4.08","9.82","6.12","14.56","4.62"
"REGS","MH 2015","B","G","Uttar Pradesh","64.13","35.57","66.02","37.07","37.52","76.73","24.25","112.50","60.39","95.47","106.33","83.62"
"REGS","MH 2015","B","S","Uttarakhand","0.00","0.34","7.23","4.97","4.32","8.87","2.38","14.25","10.65","13.66","24.21","9.64"
"REGS","MH 2015","B","G","West Bengal","78.97","43.23","75.02","24.84","29.53","74.10","65.68","117.69","50.28","52.51","168.56","205.76"
"REGS","MH 2016","A","U","A Union Govt","792.59","819.06","846.34","870.62","949.49","1024.52","1069.13","1108.35","1159.91","1711.34","2181.29","2109.80"
"REGS","MH 2016","B","UT","A UT Puducherry","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Andhra Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","S","Arunachal Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","S","Assam","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Bihar","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Chattisgarh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","UT","D NCT Delhi","1.54","1.76","1.96","2.18","2.27","2.96","3.07","3.48","3.61","5.29","6.88","6.41"
"REGS","MH 2016","B","G","Goa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Gujarat","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Haryana","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","S","Himachal Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","S","Jammu and Kashmir","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Jharkhand","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Karnataka","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Kerala","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Madhya Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Maharastra","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","S","Manipur","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","S","Meghalaya","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","S","Mizoram","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","S","Nagaland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Orissa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Punjab","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Rajasthan","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","S","Sikkim","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Tamil Nadu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","S","Tripura","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","Uttar Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","S","Uttarakhand","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2016","B","G","West Bengal","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
