"Sector","Major Head ","Cat","Cat2","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"REES","MH 2425","B","G","Punjab","34.73","38.61","37.30","40.66","41.83","50.78","50.34","46.40","50.81","60.00","60.84","82.02"
"REES","MH 2425","B","G","Rajasthan","22.91","21.08","24.19","21.91","23.96","24.97","29.69","33.69","41.83","61.19","79.45","101.20"
"REES","MH 2425","B","S","Sikkim","2.17","3.17","3.18","3.81","2.73","5.88","4.84","5.36","7.23","7.26","13.32","8.81"
"REES","MH 2425","B","G","Tamil Nadu","95.84","104.61","160.24","157.61","218.64","186.61","173.25","208.78","230.73","279.60","541.47","483.77"
"REES","MH 2425","B","S","Tripura","5.51","5.76","6.52","6.08","6.39","6.39","7.07","7.56","15.20","8.92","22.10","14.66"
"REES","MH 2425","B","G","Uttar Pradesh","47.61","48.26","45.43","48.90","55.26","60.32","64.19","159.91","184.54","159.98","409.22","243.67"
"REES","MH 2425","B","S","Uttarakhand","0.00","2.40","5.26","7.15","9.52","9.19","12.83","19.74","21.83","15.84","28.70","28.70"
"REES","MH 2425","B","G","West Bengal","42.89","38.51","38.67","36.69","33.92","43.41","43.04","67.48","79.81","121.71","162.53","166.62"
"REES","MH 2435","A","U","A Union Govt","19.22","22.24","45.60","86.87","106.76","158.16","138.83","138.22","229.00","213.20","180.22","298.96"
"REES","MH 2435","B","UT","A UT Puducherry","1.66","1.37","0.47","0.81","0.71","3.05","2.60","6.88","2.22","3.39","3.26","4.17"
"REES","MH 2435","B","G","Andhra Pradesh","3.99","4.33","4.38","4.53","4.74","4.82","5.57","6.02","12.81","15.34","9.07","9.43"
"REES","MH 2435","B","S","Arunachal Pradesh","0.60","0.49","0.41","2.56","0.89","0.71","8.63","0.82","0.80","1.07","0.79","2.06"
"REES","MH 2435","B","S","Assam","1.85","1.84","1.77","1.66","1.83","2.42","2.61","3.00","3.37","4.03","7.70","8.77"
"REES","MH 2435","B","G","Bihar","1.60","1.33","1.07","1.30","1.25","1.23","2.82","2.35","2.63","3.55","3.63","34.19"
"REES","MH 2435","B","G","Chattisgarh","0.00","0.00","0.00","0.00","113.13","16.44","0.00","0.00","11.38","1.41","0.00","3.07"
"REES","MH 2435","B","UT","D NCT Delhi","0.62","0.61","0.62","0.66","0.73","0.77","1.80","1.62","1.46","1.73","1.91","2.18"
"REES","MH 2435","B","G","Goa","0.31","0.30","0.33","0.36","0.33","0.39","0.38","0.40","0.46","0.65","0.88","0.80"
"REES","MH 2435","B","G","Gujarat","1.17","1.23","1.19","1.29","1.33","1.43","1.49","6.58","4.01","6.82","20.67","27.74"
"REES","MH 2435","B","G","Haryana","0.81","0.89","0.91","0.89","0.84","0.79","0.88","0.89","0.97","1.23","1.57","1.73"
"REES","MH 2435","B","S","Himachal Pradesh","0.10","0.06","0.00","0.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2435","B","S","Jammu and Kashmir","9.34","18.04","5.57","4.87","3.96","4.04","4.60","4.88","8.98","10.29","12.66","15.06"
"REES","MH 2435","B","G","Jharkhand","0.00","0.09","0.37","0.46","0.48","0.55","0.63","0.62","1.82","0.99","3.39","1.93"
"REES","MH 2435","B","G","Karnataka","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2435","B","G","Kerala","9.88","6.75","9.83","31.51","4.67","20.54","15.60","20.68","4.59","4.37","5.53","10.80"
"REES","MH 2435","B","G","Madhya Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2435","B","G","Maharastra","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2435","B","S","Manipur","0.04","0.01","0.00","0.00","0.00","0.03","0.03","0.03","0.03","0.05","0.06","0.04"
"REES","MH 2435","B","S","Meghalaya","2.31","1.98","2.25","1.72","1.86","1.99","2.12","2.46","1.81","2.55","3.64","4.69"
"REES","MH 2435","B","S","Mizoram","1.22","0.01","0.14","0.18","2.75","3.16","4.41","2.99","2.62","3.12","4.43","5.53"
"REES","MH 2435","B","S","Nagaland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2435","B","G","Orissa","2.75","2.03","2.44","7.75","6.86","3.64","1.90","1.99","3.13","4.30","6.86","3.98"
"REES","MH 2435","B","G","Punjab","1.67","3.23","3.24","3.29","3.31","3.30","3.28","3.18","3.35","3.50","4.09","4.57"
"REES","MH 2435","B","G","Rajasthan","2.63","2.63","2.59","2.61","2.49","2.48","2.87","3.06","3.32","8.74","5.55","5.96"
"REES","MH 2435","B","S","Sikkim","1.29","3.74","7.74","5.38","5.64","8.90","14.27","18.82","25.46","26.39","30.71","34.33"
"REES","MH 2435","B","G","Tamil Nadu","32.42","32.71","32.89","31.97","31.24","32.70","34.04","40.76","41.43","63.81","78.82","87.18"
"REES","MH 2435","B","S","Tripura","0.29","0.64","0.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2435","B","G","Uttar Pradesh","5.31","5.07","4.96","5.03","5.56","5.42","5.25","5.82","5.65","6.38","7.20","8.35"
"REES","MH 2435","B","S","Uttarakhand","0.00","0.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2435","B","G","West Bengal","8.66","12.53","11.90","5.69","6.27","5.89","6.65","7.17","7.79","68.79","41.08","11.52"
"REES","MH 2501","A","U","A Union Govt","1224.62","1260.10","1270.52","1551.23","1669.70","1921.40","2238.40","2421.84","2891.65","3898.11","4006.75","5098.88"
"REES","MH 2501","B","UT","A UT Puducherry","0.30","0.25","0.00","-0.01","0.07","0.05","0.49","0.76","0.60","0.80","0.60","1.06"
"REES","MH 2501","B","G","Andhra Pradesh","49.18","94.66","257.45","238.65","437.91","415.15","472.87","488.68","969.73","619.37","558.49","782.29"
"REES","MH 2501","B","S","Arunachal Pradesh","6.32","5.45","6.05","5.45","6.65","8.00","7.95","10.30","11.56","6.46","3.55","7.72"
"REES","MH 2501","B","S","Assam","81.66","40.92","129.78","164.36","151.34","244.58","218.19","325.77","318.41","383.52","374.28","562.23"
"REES","MH 2501","B","G","Bihar","37.93","42.89","20.07","24.57","24.57","29.89","66.72","51.57","61.06","64.86","200.72","172.42"
"REES","MH 2501","B","G","Chattisgarh","0.00","4.09","24.22","40.15","19.84","23.38","18.82","19.62","25.20","35.12","33.96","38.33"
"REES","MH 2501","B","UT","D NCT Delhi","1.76","2.16","2.00","1.98","1.63","1.47","1.73","1.46","1.21","2.05","2.46","2.44"
"REES","MH 2501","B","G","Goa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2501","B","G","Gujarat","205.95","201.88","57.45","102.76","134.32","128.93","171.75","176.95","177.56","240.17","337.76","411.89"
"REES","MH 2501","B","G","Haryana","7.29","10.64","8.49","12.94","11.97","25.06","13.70","12.41","15.28","21.68","24.39","24.86"
"REES","MH 2501","B","S","Himachal Pradesh","10.27","68.43","8.59","10.53","7.18","10.93","7.70","14.46","12.71","15.19","15.17","22.23"
"REES","MH 2501","B","S","Jammu and Kashmir","12.53","3.11","5.65","5.87","6.81","9.11","8.85","13.99","12.22","13.95","9.51","12.09"
"REES","MH 2501","B","G","Jharkhand","0.00","11.47","15.36","15.31","21.42","22.18","23.46","23.79","37.99","41.68","80.81","49.80"
"REES","MH 2501","B","G","Karnataka","32.92","36.38","37.91","32.17","28.43","46.50","60.44","55.18","55.42","67.13","56.61","68.86"
"REES","MH 2501","B","G","Kerala","10.68","8.19","8.51","14.27","16.39","16.74","17.80","14.53","23.20","36.94","63.32","33.04"
"REES","MH 2501","B","G","Madhya Pradesh","58.58","71.48","45.19","50.06","70.81","167.11","278.39","283.75","628.22","468.10","485.91","847.67"
"REES","MH 2501","B","G","Maharastra","50.66","43.77","28.36","47.69","39.40","45.93","52.83","204.43","236.08","221.88","244.72","124.02"
"REES","MH 2501","B","S","Manipur","1.11","0.37","0.41","2.12","2.93","5.08","6.96","5.73","6.23","5.85","8.16","6.36"
"REES","MH 2501","B","S","Meghalaya","11.62","13.04","12.69","10.27","14.22","11.72","17.55","19.93","19.83","29.59","26.59","41.45"
"REES","MH 2501","B","S","Mizoram","2.73","3.35","3.19","3.36","3.11","3.88","3.94","6.85","13.19","21.98","15.27","37.57"
"REES","MH 2501","B","S","Nagaland","1.43","0.95","0.86","1.00","29.28","18.84","46.18","18.82","44.67","39.39","27.45","37.91"
"REES","MH 2501","B","G","Orissa","44.82","38.25","33.30","40.00","41.76","60.79","64.42","71.64","77.76","154.32","134.46","152.52"
"REES","MH 2501","B","G","Punjab","1.31","1.32","0.31","1.38","1.82","0.00","2.50","1.13","4.07","2.38","2.92","9.48"
"REES","MH 2501","B","G","Rajasthan","22.46","23.67","34.50","34.80","59.26","51.57","56.58","66.64","58.16","87.95","71.66","95.93"
"REES","MH 2501","B","S","Sikkim","1.29","3.22","2.65","4.90","4.70","2.48","3.91","4.78","11.27","19.38","19.83","20.33"
"REES","MH 2501","B","G","Tamil Nadu","35.01","38.97","28.37","28.03","34.63","37.89","37.59","41.71","56.19","76.89","49.53","87.69"
"REES","MH 2501","B","S","Tripura","4.17","3.73","3.70","3.85","4.11","4.41","3.72","3.80","4.06","6.41","16.31","8.42"
"REES","MH 2501","B","G","Uttar Pradesh","63.87","38.22","31.02","34.79","59.40","77.97","76.87","103.58","134.21","155.48","164.48","131.20"
"REES","MH 2501","B","S","Uttarakhand","0.00","0.93","18.10","49.80","51.75","50.53","50.18","51.30","53.81","40.58","49.27","84.86"
"REES","MH 2501","B","G","West Bengal","9.97","11.99","4.51","7.80","13.96","20.83","27.96","45.59","307.46","226.94","302.10","283.12"
"REES","MH 2505","A","U","A Union Govt","3727.30","2801.21","4591.39","9870.56","10129.18","7118.35","12954.88","29727.08","16336.64","37499.48","33538.25","35840.74"
"REES","MH 2505","B","UT","A UT Puducherry","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2505","B","G","Andhra Pradesh","73.74","38.29","121.61","103.62","112.33","87.86","100.36","92.83","72.82","0.00","0.00","0.00"
"REES","MH 2505","B","S","Arunachal Pradesh","4.32","7.26","9.20","8.46","16.02","8.75","8.07","6.45","9.84","12.18","0.00","13.60"
"REES","MH 2505","B","S","Assam","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2505","B","G","Bihar","730.96","226.11","188.40","311.23","264.63","445.35","450.71","735.49","505.34","823.43","1051.29","268.92"
"REES","MH 2505","B","G","Chattisgarh","0.00","12.31","106.97","78.56","75.33","61.30","73.19","99.97","144.89","182.98","94.27","184.16"
"REES","MH 2505","B","UT","D NCT Delhi","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2505","B","G","Goa","1.00","1.96","1.00","2.44","4.16","3.92","6.18","9.30","8.52","8.37","13.59","19.75"
"REES","MH 2505","B","G","Gujarat","38.22","47.30","48.38","60.39","34.96","86.69","60.41","46.20","68.48","64.81","123.72","152.36"
"REES","MH 2505","B","G","Haryana","18.42","27.02","51.34","37.90","26.86","36.39","51.04","56.82","65.68","51.49","66.85","67.60"
"REES","MH 2505","B","S","Himachal Pradesh","10.75","6.55","7.13","8.85","13.69","11.67","9.59","13.60","20.18","35.62","54.54","61.33"
"REES","MH 2505","B","S","Jammu and Kashmir","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.87"
"REES","MH 2505","B","G","Jharkhand","0.00","57.40","136.99","150.84","125.61","161.74","189.29","125.56","223.18","202.47","230.81","335.15"
"REES","MH 2505","B","G","Karnataka","51.16","41.28","49.27","67.74","44.04","106.81","84.38","75.69","72.04","78.87","275.32","144.92"
"REES","MH 2505","B","G","Kerala","28.07","20.11","24.48","28.19","23.41","38.84","24.41","26.97","27.43","24.08","38.51","17.52"
"REES","MH 2505","B","G","Madhya Pradesh","184.74","109.59","97.98","139.01","122.60","144.42","159.07","289.82","357.99","526.55","356.70","237.00"
"REES","MH 2505","B","G","Maharastra","251.34","144.64","127.43","264.46","1287.57","1413.52","1467.99","1681.77","197.96","886.62","1190.12","958.70"
"REES","MH 2505","B","S","Manipur","11.57","1.52","13.45","9.03","13.45","29.26","35.86","27.86","32.91","37.00","40.56","51.92"
"REES","MH 2505","B","S","Meghalaya","5.04","4.69","7.84","8.54","7.53","7.30","15.23","12.39","12.92","15.40","21.78","32.77"
"REES","MH 2505","B","S","Mizoram","4.51","4.40","3.26","3.16","2.77","4.10","3.35","5.09","2.86","2.61","1.40","5.57"
"REES","MH 2505","B","S","Nagaland","7.68","1.55","1.30","1.40","1.40","1.00","3.30","3.04","4.56","16.00","15.54","28.90"
"REES","MH 2505","B","G","Orissa","111.62","201.44","224.34","195.72","203.17","217.21","183.07","179.44","133.24","268.76","343.95","340.01"
"REES","MH 2505","B","G","Punjab","3.00","3.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2505","B","G","Rajasthan","9.47","20.09","24.44","27.90","24.79","26.86","20.43","31.04","224.31","535.30","506.09","429.83"
"REES","MH 2505","B","S","Sikkim","3.65","2.76","3.30","3.90","3.10","3.00","2.87","2.87","5.24","3.63","3.09","0.74"
"REES","MH 2505","B","G","Tamil Nadu","108.53","150.67","181.60","165.59","208.98","192.85","160.97","161.79","311.80","283.47","543.54","250.34"
"REES","MH 2505","B","S","Tripura","13.45","9.06","0.02","4.39","2.24","1.41","3.40","1.70","0.16","0.22","0.18","0.07"
"REES","MH 2505","B","G","Uttar Pradesh","269.51","234.75","309.19","425.52","387.23","442.69","484.21","458.10","463.82","571.01","694.44","328.75"
"REES","MH 2505","B","S","Uttarakhand","0.00","0.00","0.02","1.78","1.13","0.85","1.03","0.74","0.78","0.00","0.00","0.01"
"REES","MH 2505","B","G","West Bengal","223.27","157.90","149.33","142.69","150.37","214.74","316.60","258.14","283.42","243.10","631.18","537.69"
"REES","MH 2506","A","U","A Union Govt","0.45","1.15","0.85","1.18","0.96","1.03","1.89","2.05","2.44","4.89","13.36","8.58"
"REES","MH 2506","B","UT","A UT Puducherry","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","G","Andhra Pradesh","2.78","2.87","2.90","3.00","6.36","6.80","7.50","8.75","11.68","9.06","10.67","13.78"
"REES","MH 2506","B","S","Arunachal Pradesh","0.69","2.87","2.09","1.14","2.73","1.44","0.96","1.42","1.53","1.20","1.44","3.87"
"REES","MH 2506","B","S","Assam","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","G","Bihar","0.31","0.00","0.22","0.16","0.07","0.00","0.00","0.01","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","G","Chattisgarh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","UT","D NCT Delhi","0.00","0.00","0.00","0.05","0.00","0.04","0.08","0.00","0.09","0.00","0.05","0.00"
"REES","MH 2506","B","G","Goa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","G","Gujarat","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","G","Haryana","2.94","3.99","4.14","2.87","3.03","4.51","9.41","8.71","13.10","5.81","6.43","38.64"
"REES","MH 2506","B","S","Himachal Pradesh","7.26","5.37","4.55","4.29","4.20","4.26","5.09","5.67","6.07","6.48","6.18","5.97"
"REES","MH 2506","B","S","Jammu and Kashmir","19.05","18.72","19.87","20.97","22.50","24.17","26.91","31.20","30.97","33.10","42.97","47.92"
"REES","MH 2506","B","G","Jharkhand","0.00","0.00","0.10","0.00","0.04","0.05","0.01","0.01","0.01","0.00","0.00","0.00"
"REES","MH 2506","B","G","Karnataka","5.23","7.34","9.03","6.62","3.87","2.90","5.86","5.07","3.54","4.42","4.79","9.33"
"REES","MH 2506","B","G","Kerala","2.17","2.37","1.71","6.23","5.75","5.07","4.02","3.06","0.71","5.20","11.72","1.51"
"REES","MH 2506","B","G","Madhya Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","G","Maharastra","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","S","Manipur","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","S","Meghalaya","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","S","Mizoram","4.57","4.67","4.48","5.04","10.38","6.11","7.23","7.11","4.84","3.42","3.76","3.86"
"REES","MH 2506","B","S","Nagaland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","G","Orissa","34.07","37.38","35.33","42.78","35.75","36.25","34.77","34.72","37.18","38.57","49.68","48.42"
"REES","MH 2506","B","G","Punjab","1.67","1.79","1.76","1.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","G","Rajasthan","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","S","Sikkim","0.57","0.90","0.62","1.61","0.27","0.38","0.30","0.39","1.48","3.34","1.38","0.05"
"REES","MH 2506","B","G","Tamil Nadu","2.45","5.08","2.31","0.70","3.50","4.09","6.04","8.67","0.00","0.11","0.00","0.00"
"REES","MH 2506","B","S","Tripura","6.81","6.91","7.89","8.13","8.25","8.71","8.99","9.53","10.29","10.90","16.39","15.11"
"REES","MH 2506","B","G","Uttar Pradesh","0.07","0.04","0.03","0.07","0.13","0.03","0.08","0.09","2.07","0.02","0.07","0.07"
"REES","MH 2506","B","S","Uttarakhand","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2506","B","G","West Bengal","9.56","11.39","14.11","12.68","12.18","11.89","13.55","15.67","15.68","18.87","28.79","32.28"
"REES","MH 2515","A","U","A Union Govt","184.31","241.65","324.67","311.91","373.63","435.11","462.98","488.32","519.94","615.98","726.31","1049.74"
"REES","MH 2515","B","UT","A UT Puducherry","10.56","16.44","16.45","7.27","8.71","9.25","18.61","22.31","14.59","22.71","15.04","29.57"
"REES","MH 2515","B","G","Andhra Pradesh","934.49","788.21","819.08","698.57","1039.12","1111.04","1110.52","1855.69","1946.31","2460.02","1876.84","2843.27"
"REES","MH 2515","B","S","Arunachal Pradesh","8.65","8.88","9.23","10.33","12.00","38.53","37.49","14.77","16.70","52.49","88.81","66.31"
"REES","MH 2515","B","S","Assam","47.12","60.86","144.46","54.60","113.28","191.58","158.64","235.59","467.35","289.68","439.21","377.31"
"REES","MH 2515","B","G","Bihar","303.21","348.82","271.93","453.27","334.96","327.44","545.15","531.81","1086.70","1220.91","1428.43","1548.10"
"REES","MH 2515","B","G","Chattisgarh","0.00","58.90","211.35","192.33","199.33","355.90","485.84","524.18","668.77","654.10","699.07","993.71"
"REES","MH 2515","B","UT","D NCT Delhi","2.16","2.37","2.34","2.66","3.24","2.86","2.97","2.84","67.81","4.47","4.84","4.50"
"REES","MH 2515","B","G","Goa","10.55","8.68","16.03","24.91","22.91","30.24","35.68","36.37","32.48","50.37","61.28","64.87"
"REES","MH 2515","B","G","Gujarat","320.91","511.55","273.31","415.76","437.02","592.56","555.05","736.33","858.89","841.93","920.72","1494.42"
"REES","MH 2515","B","G","Haryana","91.55","47.54","71.49","82.19","97.38","98.28","206.97","247.45","491.16","764.75","771.44","836.76"
"REES","MH 2515","B","S","Himachal Pradesh","56.51","58.51","60.36","67.25","68.66","71.60","84.38","115.35","146.04","192.81","202.06","250.63"
"REES","MH 2515","B","S","Jammu and Kashmir","49.34","56.67","64.88","64.56","64.64","76.73","89.08","142.38","120.96","104.45","130.93","152.83"
"REES","MH 2515","B","G","Jharkhand","0.00","34.91","123.72","101.32","95.99","114.76","248.89","359.62","344.79","560.67","433.28","1293.33"
"REES","MH 2515","B","G","Karnataka","356.11","371.62","382.50","416.02","378.73","540.65","625.32","770.85","828.40","791.02","895.79","1147.93"
"REES","MH 2515","B","G","Kerala","826.21","772.87","651.21","1030.28","715.65","1229.50","1291.31","203.83","165.40","238.14","299.66","333.46"
"REES","MH 2515","B","G","Madhya Pradesh","480.63","721.94","475.83","443.24","412.51","391.71","680.89","996.65","1150.95","981.14","1423.96","1556.43"
"REES","MH 2515","B","G","Maharastra","292.55","318.87","366.57","592.93","738.42","774.77","497.10","704.11","626.54","871.51","1058.33","1160.33"
"REES","MH 2515","B","S","Manipur","12.76","9.92","14.17","10.06","12.34","14.49","16.01","15.74","34.53","44.96","22.84","27.58"
"REES","MH 2515","B","S","Meghalaya","24.38","31.52","32.82","42.03","35.57","46.36","65.65","99.23","99.30","151.51","119.85","167.59"
"REES","MH 2515","B","S","Mizoram","24.26","14.63","13.17","17.57","13.49","13.97","14.38","29.02","29.80","13.85","14.71","17.51"
"REES","MH 2515","B","S","Nagaland","19.78","21.45","10.72","22.50","35.43","31.95","37.74","48.03","39.98","62.79","52.82","64.83"
"REES","MH 2515","B","G","Orissa","320.66","134.70","155.01","190.53","177.99","153.46","231.67","324.31","612.96","763.88","651.82","942.41"
"REES","MH 2515","B","G","Punjab","40.71","60.90","59.36","36.41","54.52","26.99","45.06","65.10","61.61","72.11","99.50","107.91"
"REES","MH 2515","B","G","Rajasthan","250.66","228.61","351.42","387.69","371.55","833.28","854.24","863.53","1153.00","1467.75","1791.94","2119.35"
"REES","MH 2515","B","S","Sikkim","2.83","3.35","3.97","5.28","26.18","9.87","25.33","28.56","20.55","21.71","23.76","20.60"
"REES","MH 2515","B","G","Tamil Nadu","410.76","461.39","258.83","414.63","658.19","321.20","393.53","466.01","436.84","369.50","567.59","468.80"
"REES","MH 2515","B","S","Tripura","53.26","52.76","57.44","56.79","50.94","57.56","58.08","71.13","76.54","84.71","87.63","70.96"
"REES","MH 2515","B","G","Uttar Pradesh","1610.61","1569.11","1206.06","1213.44","1207.86","1179.67","1698.25","1412.47","2336.17","3781.29","2731.92","3543.06"
"REES","MH 2515","B","S","Uttarakhand","0.00","22.09","136.52","102.57","120.73","131.09","213.61","233.60","259.67","307.15","329.26","370.20"
"REES","MH 2515","B","G","West Bengal","495.65","586.74","748.47","448.40","559.76","606.94","868.01","917.49","1160.24","1147.19","1636.40","1584.74"
"REES","MH 2551","A","U","A Union Govt","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","UT","A UT Puducherry","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Andhra Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","S","Arunachal Pradesh","0.03","0.02","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.07","0.06"
"REES","MH 2551","B","S","Assam","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Bihar","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Chattisgarh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","UT","D NCT Delhi","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Goa","2.31","2.31","1.78","1.84","1.99","1.74","2.24","2.86","2.96","3.87","5.43","8.63"
"REES","MH 2551","B","G","Gujarat","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Haryana","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","S","Himachal Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","S","Jammu and Kashmir","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Jharkhand","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Karnataka","14.64","15.77","15.13","15.12","15.62","16.63","14.00","15.07","23.21","31.73","26.60","30.22"
"REES","MH 2551","B","G","Kerala","12.61","11.33","12.23","12.35","12.63","12.53","10.96","19.37","20.29","14.10","23.52","24.33"
"REES","MH 2551","B","G","Madhya Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Maharastra","67.46","46.01","34.46","52.56","51.32","39.99","21.23","32.83","32.83","31.20","28.07","58.69"
"REES","MH 2551","B","S","Manipur","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","S","Meghalaya","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","S","Mizoram","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","S","Nagaland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Orissa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Punjab","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Rajasthan","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","S","Sikkim","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Tamil Nadu","14.70","15.27","15.89","15.74","15.24","16.33","9.27","12.65","12.03","13.97","13.56","9.08"
"REES","MH 2551","B","S","Tripura","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","Uttar Pradesh","428.32","210.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34.88","0.00"
"REES","MH 2551","B","S","Uttarakhand","0.00","178.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2551","B","G","West Bengal","160.54","200.25","179.16","169.25","176.25","167.42","180.87","207.41","220.24","236.36","324.74","337.98"
"REES","MH 2552","A","U","A Union Govt","65.28","231.93","139.50","168.58","128.77","134.35","342.64","340.54","410.91","92.19","113.73","197.49"
"REES","MH 2552","B","UT","A UT Puducherry","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REES","MH 2552","B","G","Andhra Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
